ID,Cat,Loc
013-01524,3,Cairns
013-03564,5,Cairns
001-00406,3,Gold Coast
006-05866,5,Gold Coast
002-05361,4,Townsville
001-04162,3,Gladstone
003-08775,5,Gladstone
007-02914,3,Townsville
007-09962,3,Townsville
005-03821,3,Townsville
016-04518,4,Townsville
011-01326,5,Townsville
007-06470,3,Mackay
005-06282,5,Mackay
003-08400,5,Mackay
007-03074,5,Mackay
002-00483,3,Kowanyama
006-07657,5,Kowanyama
015-09711,3,Pompuraaw
004-03396,5,Pompuraaw
